"usertype","age_group","ridecount","aveduration"
"casual","15-30",289331,42.3052864642918
"casual","30-45",134632,47.8421349604849
"casual","45-60",44265,55.3986265446741
"casual","60-75",4943,60.2076627554117
"casual","75-90",93,50.0132688172043
"casual","90+",7,44.9614285714286
"member","15-30",2487627,14.2108376018591
"member","30-45",2294373,13.8710497011602
"member","45-60",881747,13.7941731471726
"member","60-75",185530,13.7251523419393
"member","75-90",2063,15.3071628696074
"member","90+",628,9.32527388535032
